,Unnamed: 0,Unnamed: 0.1,imdb_title_id,original_title,year,genre,director,actors,avg_vote,cast_size,comb
0,0,0,tt0035423,kate & leopold,2001,"Comedy, Fantasy, Romance",James Mangold,Meg Ryan Hugh Jackman Liev Schreiber Breckin Meyer Natasha Lyonne Bradley Whitford Paxton Whitehead Spalding Gray Josh Stamberg Matthew Sussman Charlotte Ayanna Philip Bosco Andrew Jack Stan Tracy Kristen Schaal,6.4,15,"James Mangold Meg Ryan Hugh Jackman Liev Schreiber Breckin Meyer Natasha Lyonne Bradley Whitford Paxton Whitehead Spalding Gray Josh Stamberg Matthew Sussman Charlotte Ayanna Philip Bosco Andrew Jack Stan Tracy Kristen Schaal Comedy, Fantasy, Romance"
1,1,1,tt0069049,the other side of the wind,2018,Drama,Orson Welles,John Huston Oja Kodar Peter Bogdanovich Susan Strasberg Norman Foster Robert Random Lilli Palmer Edmond O'Brien Mercedes McCambridge Cameron Mitchell Paul Stewart Gregory Sierra Tonio Selwart Dan Tobin John Carroll,6.8,15,Orson Welles John Huston Oja Kodar Peter Bogdanovich Susan Strasberg Norman Foster Robert Random Lilli Palmer Edmond O'Brien Mercedes McCambridge Cameron Mitchell Paul Stewart Gregory Sierra Tonio Selwart Dan Tobin John Carroll Drama
5,10,10,tt0118710,beyond the pale,2000,Drama,George Bazala,Patrick Clarke Beverley Elder Conn Horgan Malachy McCourt Roger Davis Ruth Miller Valentina Olmos Neale Harper William Stone Mahoney Brian Mallon Jason Killalee Catherine Natale Worth Howe Dominic Dillon Josie Peterson,6.2,15,George Bazala Patrick Clarke Beverley Elder Conn Horgan Malachy McCourt Roger Davis Ruth Miller Valentina Olmos Neale Harper William Stone Mahoney Brian Mallon Jason Killalee Catherine Natale Worth Howe Dominic Dillon Josie Peterson Drama
6,11,11,tt0118852,chinese coffee,2000,Drama,Al Pacino,Al Pacino Jerry Orbach Susan Floyd Ellen McElduff Michel Moinot Judette Jones Paul J.Q. Lee Joel Eidelsberg Maria Gentile Christopher Evan Welch Neal Jones Laura Esterman Hazelle Goodman James Bulleit Mark Scarola,7.1,15,Al Pacino Al Pacino Jerry Orbach Susan Floyd Ellen McElduff Michel Moinot Judette Jones Paul J.Q. Lee Joel Eidelsberg Maria Gentile Christopher Evan Welch Neal Jones Laura Esterman Hazelle Goodman James Bulleit Mark Scarola Drama
7,12,12,tt0118926,the dancer upstairs,2002,"Crime, Drama, Thriller",John Malkovich,Javier Bardem Juan Diego Botto Laura Morante Elvira Mínguez Alexandra Lencastre Oliver Cotton Luís Miguel Cintra Javier Manrique Abel Folk Marie-Anne Berganza Lucas Rodríguez Xabier Elorriaga Natalia Dicenta Wolframio Sinué Ramiro Jiménez,6.9,15,"John Malkovich Javier Bardem Juan Diego Botto Laura Morante Elvira Mínguez Alexandra Lencastre Oliver Cotton Luís Miguel Cintra Javier Manrique Abel Folk Marie-Anne Berganza Lucas Rodríguez Xabier Elorriaga Natalia Dicenta Wolframio Sinué Ramiro Jiménez Crime, Drama, Thriller"
9,18,18,tt0120202,state and main,2000,"Comedy, Drama",David Mamet,Michael Higgins Michael Bradshaw Morris Lamore Allen Soule Clark Gregg Rebecca Pidgeon Ricky Jay Julia Stiles Matt Malloy Charles Durning Tony V. Tony Mamet Jack Wallace Michael James O'Boyle Charlotte Potok,6.7,15,"David Mamet Michael Higgins Michael Bradshaw Morris Lamore Allen Soule Clark Gregg Rebecca Pidgeon Ricky Jay Julia Stiles Matt Malloy Charles Durning Tony V. Tony Mamet Jack Wallace Michael James O'Boyle Charlotte Potok Comedy, Drama"
11,21,22,tt0120679,frida,2002,"Biography, Drama, Romance",Julie Taymor,Salma Hayek Mía Maestro Amelia Zapata Alejandro Usigli Diego Luna Alfred Molina Lucia Bravo Valeria Golino Patricia Reyes Spíndola Loló Navarro Roger Rees Fermín Martínez Roberto Medina Ashley Judd Antonio Banderas,7.4,15,"Julie Taymor Salma Hayek Mía Maestro Amelia Zapata Alejandro Usigli Diego Luna Alfred Molina Lucia Bravo Valeria Golino Patricia Reyes Spíndola Loló Navarro Roger Rees Fermín Martínez Roberto Medina Ashley Judd Antonio Banderas Biography, Drama, Romance"
12,22,23,tt0120681,from hell,2001,"Horror, Mystery, Thriller","Albert Hughes, Allen Hughes",Johnny Depp Heather Graham Ian Holm Robbie Coltrane Ian Richardson Jason Flemyng Katrin Cartlidge Terence Harvey Susan Lynch Paul Rhys Lesley Sharp Estelle Skornik Nicholas McGaughey Annabelle Apsion Joanna Page,6.8,15,"Albert Hughes, Allen Hughes Johnny Depp Heather Graham Ian Holm Robbie Coltrane Ian Richardson Jason Flemyng Katrin Cartlidge Terence Harvey Susan Lynch Paul Rhys Lesley Sharp Estelle Skornik Nicholas McGaughey Annabelle Apsion Joanna Page Horror, Mystery, Thriller"
13,24,25,tt0120737,the lord of the rings: the fellowship of the ring,2001,"Action, Adventure, Drama",Peter Jackson,Alan Howard Noel Appleby Sean Astin Sala Baker Sean Bean Cate Blanchett Orlando Bloom Billy Boyd Marton Csokas Megan Edwards Michael Elsworth Mark Ferguson Ian Holm Christopher Lee Lawrence Makoare,8.8,15,"Peter Jackson Alan Howard Noel Appleby Sean Astin Sala Baker Sean Bean Cate Blanchett Orlando Bloom Billy Boyd Marton Csokas Megan Edwards Michael Elsworth Mark Ferguson Ian Holm Christopher Lee Lawrence Makoare Action, Adventure, Drama"
15,26,27,tt0120755,mission: impossible ii,2000,"Action, Adventure, Thriller",John Woo,Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh John Polson Brendan Gleeson Rade Serbedzija William Mapother Dominic Purcell Mathew Wilkinson Nicholas Bell Cristina Brogeras Kee Chan Kim Fleming,6.1,15,"John Woo Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh John Polson Brendan Gleeson Rade Serbedzija William Mapother Dominic Purcell Mathew Wilkinson Nicholas Bell Cristina Brogeras Kee Chan Kim Fleming Action, Adventure, Thriller"
16,27,28,tt0120804,resident evil,2002,"Action, Horror, Sci-Fi",Paul W.S. Anderson,Ryan McCluskey Oscar Pearce Indra Ové Anna Bolt Joseph May Robert Tannion Heike Makatsch Jaymes Butler Stephen Billington Fiona Glascott Milla Jovovich Eric Mabius Colin Salmon Martin Crewes Pasquale Aleardi,6.7,15,"Paul W.S. Anderson Ryan McCluskey Oscar Pearce Indra Ové Anna Bolt Joseph May Robert Tannion Heike Makatsch Jaymes Butler Stephen Billington Fiona Glascott Milla Jovovich Eric Mabius Colin Salmon Martin Crewes Pasquale Aleardi Action, Horror, Sci-Fi"
17,29,30,tt0120824,the shipping news,2001,Drama,Lasse Hallström,Kevin Spacey Julianne Moore Judi Dench Cate Blanchett Pete Postlethwaite Scott Glenn Rhys Ifans Gordon Pinsent Jason Behr Larry Pine Jeannetta Arnette Robert Joy Alyssa Gainer Kaitlyn Gainer Lauren Gainer,6.7,15,Lasse Hallström Kevin Spacey Julianne Moore Judi Dench Cate Blanchett Pete Postlethwaite Scott Glenn Rhys Ifans Gordon Pinsent Jason Behr Larry Pine Jeannetta Arnette Robert Joy Alyssa Gainer Kaitlyn Gainer Lauren Gainer Drama
18,30,31,tt0120903,x-men,2000,"Action, Adventure, Sci-Fi",Bryan Singer,Hugh Jackman Patrick Stewart Ian McKellen Famke Janssen James Marsden Halle Berry Anna Paquin Tyler Mane Ray Park Rebecca Romijn Bruce Davison Matthew Sharp Brett Morris Rhona Shekter Kenneth McGregor,7.4,15,"Bryan Singer Hugh Jackman Patrick Stewart Ian McKellen Famke Janssen James Marsden Halle Berry Anna Paquin Tyler Mane Ray Park Rebecca Romijn Bruce Davison Matthew Sharp Brett Morris Rhona Shekter Kenneth McGregor Action, Adventure, Sci-Fi"
19,31,32,tt0120912,men in black ii,2002,"Action, Adventure, Comedy",Barry Sonnenfeld,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville Rosario Dawson Tony Shalhoub Patrick Warburton Jack Kehler David Cross Colombe Jacobsen-Derstine Peter Spellos Michael Rivkin Michael Bailey Smith Lenny Venito,6.2,15,"Barry Sonnenfeld Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville Rosario Dawson Tony Shalhoub Patrick Warburton Jack Kehler David Cross Colombe Jacobsen-Derstine Peter Spellos Michael Rivkin Michael Bailey Smith Lenny Venito Action, Adventure, Comedy"
20,32,33,tt0120913,titan a.e.,2000,"Animation, Action, Adventure","Don Bluth, Gary Goldman",Drew Barrymore Jim Breuer Ken Hudson Campbell Thomas A. Chantler Tsai Chin Elaine A. Clark Roy Conrad Jim Cummings Matt Damon Janeane Garofalo Leslie Hedger Roger Jackson David L. Lander Nathan Lane John Leguizamo,6.6,15,"Don Bluth, Gary Goldman Drew Barrymore Jim Breuer Ken Hudson Campbell Thomas A. Chantler Tsai Chin Elaine A. Clark Roy Conrad Jim Cummings Matt Damon Janeane Garofalo Leslie Hedger Roger Jackson David L. Lander Nathan Lane John Leguizamo Animation, Action, Adventure"
21,33,34,tt0120917,the emperor's new groove,2000,"Animation, Adventure, Comedy",Mark Dindal,David Spade John Goodman Eartha Kitt Patrick Warburton Wendie Malick Kellyann Kelso Eli Russell Linnetz Stephen J. Anderson Bob Bergen Rodger Bumpass Robert Clotworthy Jennifer Darling Patti Deutsch John Fiedler Miriam Flynn,7.3,15,"Mark Dindal David Spade John Goodman Eartha Kitt Patrick Warburton Wendie Malick Kellyann Kelso Eli Russell Linnetz Stephen J. Anderson Bob Bergen Rodger Bumpass Robert Clotworthy Jennifer Darling Patti Deutsch John Fiedler Miriam Flynn Animation, Adventure, Comedy"
22,34,35,tt0121164,corpse bride,2005,"Animation, Drama, Family","Tim Burton, Mike Johnson",Johnny Depp Helena Bonham Carter Emily Watson Tracey Ullman Paul Whitehouse Joanna Lumley Albert Finney Richard E. Grant Christopher Lee Michael Gough Jane Horrocks Enn Reitel Deep Roy Danny Elfman Stephen Ballantyne,7.3,15,"Tim Burton, Mike Johnson Johnny Depp Helena Bonham Carter Emily Watson Tracey Ullman Paul Whitehouse Joanna Lumley Albert Finney Richard E. Grant Christopher Lee Michael Gough Jane Horrocks Enn Reitel Deep Roy Danny Elfman Stephen Ballantyne Animation, Drama, Family"
23,35,36,tt0121765,star wars: episode ii - attack of the clones,2002,"Action, Adventure, Fantasy",George Lucas,Ewan McGregor Natalie Portman Hayden Christensen Christopher Lee Samuel L. Jackson Frank Oz Ian McDiarmid Pernilla August Temuera Morrison Jimmy Smits Jack Thompson Leeanna Walsman Ahmed Best Rose Byrne Oliver Ford Davies,6.5,15,"George Lucas Ewan McGregor Natalie Portman Hayden Christensen Christopher Lee Samuel L. Jackson Frank Oz Ian McDiarmid Pernilla August Temuera Morrison Jimmy Smits Jack Thompson Leeanna Walsman Ahmed Best Rose Byrne Oliver Ford Davies Action, Adventure, Fantasy"
24,36,37,tt0121766,star wars: episode iii - revenge of the sith,2005,"Action, Adventure, Fantasy",George Lucas,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson Jimmy Smits Frank Oz Anthony Daniels Christopher Lee Keisha Castle-Hughes Silas Carson Jay Laga'aia Bruce Spence Wayne Pygram Temuera Morrison,7.5,15,"George Lucas Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson Jimmy Smits Frank Oz Anthony Daniels Christopher Lee Keisha Castle-Hughes Silas Carson Jay Laga'aia Bruce Spence Wayne Pygram Temuera Morrison Action, Adventure, Fantasy"
25,40,41,tt0122459,return to me,2000,"Comedy, Drama, Romance",Bonnie Hunt,David Duchovny Minnie Driver Carroll O'Connor Robert Loggia Bonnie Hunt David Alan Grier Joely Richardson Eddie Jones Jim Belushi Marianne Muellerleile William Bronder Brian Howe Chris Barnes Adam Tanguay Karson Pound,6.9,15,"Bonnie Hunt David Duchovny Minnie Driver Carroll O'Connor Robert Loggia Bonnie Hunt David Alan Grier Joely Richardson Eddie Jones Jim Belushi Marianne Muellerleile William Bronder Brian Howe Chris Barnes Adam Tanguay Karson Pound Comedy, Drama, Romance"
26,41,42,tt0123003,bruno,2000,"Comedy, Drama",Shirley MacLaine,Alex D. Linz Shirley MacLaine Gary Sinise Joey Lauren Adams Kathy Bates Kiami Davael Stacey Halprin Jennifer Tilly Gwen Verdon Brett Butler Lee Hughes Dylan Hubbard Kyle Phillips Jordan Perry Joanne Pankow,6.1,15,"Shirley MacLaine Alex D. Linz Shirley MacLaine Gary Sinise Joey Lauren Adams Kathy Bates Kiami Davael Stacey Halprin Jennifer Tilly Gwen Verdon Brett Butler Lee Hughes Dylan Hubbard Kyle Phillips Jordan Perry Joanne Pankow Comedy, Drama"
27,43,44,tt0125022,heartbreakers,2001,"Comedy, Crime, Romance",David Mirkin,Sigourney Weaver Jennifer Love Hewitt Ray Liotta Jason Lee Anne Bancroft Jeffrey Jones Gene Hackman Nora Dunn Julio Oscar Mechoso Ricky Jay Sarah Silverman Zach Galifianakis Michael Hitchcock Pierre Gonneau Shawn Colvin,6.2,15,"David Mirkin Sigourney Weaver Jennifer Love Hewitt Ray Liotta Jason Lee Anne Bancroft Jeffrey Jones Gene Hackman Nora Dunn Julio Oscar Mechoso Ricky Jay Sarah Silverman Zach Galifianakis Michael Hitchcock Pierre Gonneau Shawn Colvin Comedy, Crime, Romance"
28,44,45,tt0126029,shrek,2001,"Animation, Adventure, Comedy","Andrew Adamson, Vicky Jenson",Mike Myers Eddie Murphy Cameron Diaz John Lithgow Vincent Cassel Peter Dennis Clive Pearse Jim Cummings Bobby Block Chris Miller Cody Cameron Kathleen Freeman Michael Galasso Christopher Knights Simon J. Smith,7.8,15,"Andrew Adamson, Vicky Jenson Mike Myers Eddie Murphy Cameron Diaz John Lithgow Vincent Cassel Peter Dennis Clive Pearse Jim Cummings Bobby Block Chris Miller Cody Cameron Kathleen Freeman Michael Galasso Christopher Knights Simon J. Smith Animation, Adventure, Comedy"
29,45,46,tt0127349,waking the dead,2000,"Drama, Mystery, Romance",Keith Gordon,Billy Crudup Bill Haugland Nelson Landrieu Ivonne Coll Jennifer Connelly Maxine Guess Paul Hipp Hal Holbrook Lawrence Dane Ed Harris Robert Harding Janet McTeer Molly Parker Larry Marshall Don Jordan,6.5,15,"Keith Gordon Billy Crudup Bill Haugland Nelson Landrieu Ivonne Coll Jennifer Connelly Maxine Guess Paul Hipp Hal Holbrook Lawrence Dane Ed Harris Robert Harding Janet McTeer Molly Parker Larry Marshall Don Jordan Drama, Mystery, Romance"
30,47,48,tt0130623,dinosaur,2000,"Animation, Adventure, Family","Eric Leighton, Ralph Zondag",Alfre Woodard Ossie Davis Max Casella Hayden Panettiere D.B. Sweeney Samuel E. Wright Peter Siragusa Julianna Margulies Joan Plowright Della Reese Matt Adler Sandina Bailo-Lape Edie Lehmann Boddicker Zachary Bostrom Cathy Cavadini,6.5,15,"Eric Leighton, Ralph Zondag Alfre Woodard Ossie Davis Max Casella Hayden Panettiere D.B. Sweeney Samuel E. Wright Peter Siragusa Julianna Margulies Joan Plowright Della Reese Matt Adler Sandina Bailo-Lape Edie Lehmann Boddicker Zachary Bostrom Cathy Cavadini Animation, Adventure, Family"
32,53,54,tt0133240,treasure planet,2002,"Animation, Adventure, Family","Ron Clements, John Musker",Roscoe Lee Browne Corey Burton Dane A. Davis Joseph Gordon-Levitt Tony Jay Austin Majors Patrick McGoohan Michael McShane Laurie Metcalf Brian Murray David Hyde Pierce Martin Short Emma Thompson Michael Wincott Jack Angel,7.2,15,"Ron Clements, John Musker Roscoe Lee Browne Corey Burton Dane A. Davis Joseph Gordon-Levitt Tony Jay Austin Majors Patrick McGoohan Michael McShane Laurie Metcalf Brian Murray David Hyde Pierce Martin Short Emma Thompson Michael Wincott Jack Angel Animation, Adventure, Family"
34,55,56,tt0134630,duets,2000,"Comedy, Drama, Music",Bruce Paltrow,Lochlyn Munro Carol Alexander Michael J Rogers Huey Lewis Amanda Kravat Paul Giamatti Ian Robison Roger Haskett John Payne Scott Speedman Tom Bougers Marian Seldes Angie Phillips Steve Oatway Erika von Tagen,6.1,15,"Bruce Paltrow Lochlyn Munro Carol Alexander Michael J Rogers Huey Lewis Amanda Kravat Paul Giamatti Ian Robison Roger Haskett John Payne Scott Speedman Tom Bougers Marian Seldes Angie Phillips Steve Oatway Erika von Tagen Comedy, Drama, Music"
35,56,57,tt0134847,pitch black,2000,"Action, Horror, Sci-Fi",David Twohy,Vin Diesel Radha Mitchell Cole Hauser Keith David Lewis Fitz-Gerald Claudia Black Rhiana Griffith John Moore Simon Burke Les Chantery Sam Sari Firass Dirani Ric Anderson Vic Wilson Angela Moore,7.1,15,"David Twohy Vin Diesel Radha Mitchell Cole Hauser Keith David Lewis Fitz-Gerald Claudia Black Rhiana Griffith John Moore Simon Burke Les Chantery Sam Sari Firass Dirani Ric Anderson Vic Wilson Angela Moore Action, Horror, Sci-Fi"
36,57,59,tt0135707,wind river,2000,"Drama, Family, Western",Tom Shell,Blake Heron A Martinez Russell Means Wes Studi Devon Gummersall Karen Allen Patricia Van Ingen Tim Griffin Alanzo Coby Tom Shell Payton Mackey Wayne Brennan Rick Lichtenhan Brandon Baker Peter Yellow John,6.4,15,"Tom Shell Blake Heron A Martinez Russell Means Wes Studi Devon Gummersall Karen Allen Patricia Van Ingen Tim Griffin Alanzo Coby Tom Shell Payton Mackey Wayne Brennan Rick Lichtenhan Brandon Baker Peter Yellow John Drama, Family, Western"
37,59,62,tt0138353,cement,2000,"Crime, Drama",Adrian Pasdar,Chris Penn Jeffrey Wright Anthony DeSando Sherilyn Fenn Henry Czerny Gregory Jbara Titus Welliver Yorgo Constantine Richard Edson Kevin Jackson Max Martini Steffiana De La Cruz Erin Matthews Chris McKenna Diana Morgan,6.3,15,"Adrian Pasdar Chris Penn Jeffrey Wright Anthony DeSando Sherilyn Fenn Henry Czerny Gregory Jbara Titus Welliver Yorgo Constantine Richard Edson Kevin Jackson Max Martini Steffiana De La Cruz Erin Matthews Chris McKenna Diana Morgan Crime, Drama"
38,60,63,tt0138524,intolerable cruelty,2003,"Comedy, Crime, Romance","Joel Coen, Ethan Coen",George Clooney Catherine Zeta-Jones Geoffrey Rush Cedric the Entertainer Edward Herrmann Paul Adelstein Richard Jenkins Billy Bob Thornton Julia Duffy Jonathan Hadary Tom Aldredge Stacey Travis Jack Kyle Irwin Keyes Judith Drake,6.2,15,"Joel Coen, Ethan Coen George Clooney Catherine Zeta-Jones Geoffrey Rush Cedric the Entertainer Edward Herrmann Paul Adelstein Richard Jenkins Billy Bob Thornton Julia Duffy Jonathan Hadary Tom Aldredge Stacey Travis Jack Kyle Irwin Keyes Judith Drake Comedy, Crime, Romance"
41,63,67,tt0138927,waterproof,2000,Drama,Barry Berman,Whitman Mayo April Grace Burt Reynolds Cordereau Dye Brandon Crawford Ja'net DuBois Orlando Jones Anthony Lee Lou Criscuolo Al Wiggins Gil Johnson Leland L. Jones Darrell Harlee Joe Inscoe Whitney Tucker,6.5,15,Barry Berman Whitman Mayo April Grace Burt Reynolds Cordereau Dye Brandon Crawford Ja'net DuBois Orlando Jones Anthony Lee Lou Criscuolo Al Wiggins Gil Johnson Leland L. Jones Darrell Harlee Joe Inscoe Whitney Tucker Drama
42,64,68,tt0138946,the yards,2000,"Crime, Drama, Romance",James Gray,Mark Wahlberg Joaquin Phoenix Charlize Theron James Caan Ellen Burstyn Faye Dunaway Steve Lawrence Andy Davoli Tony Musante Victor Argo Tomas Milian Robert Montano Victor Arnold Chad Aaron Louis Guss,6.4,15,"James Gray Mark Wahlberg Joaquin Phoenix Charlize Theron James Caan Ellen Burstyn Faye Dunaway Steve Lawrence Andy Davoli Tony Musante Victor Argo Tomas Milian Robert Montano Victor Arnold Chad Aaron Louis Guss Crime, Drama, Romance"
44,66,70,tt0139654,training day,2001,"Crime, Drama, Thriller",Antoine Fuqua,Denzel Washington Ethan Hawke Scott Glenn Tom Berenger Harris Yulin Raymond J. Barry Cliff Curtis Dr. Dre Snoop Dogg Macy Gray Charlotte Ayanna Eva Mendes Nick Chinlund Jaime Gomez Raymond Cruz,7.7,15,"Antoine Fuqua Denzel Washington Ethan Hawke Scott Glenn Tom Berenger Harris Yulin Raymond J. Barry Cliff Curtis Dr. Dre Snoop Dogg Macy Gray Charlotte Ayanna Eva Mendes Nick Chinlund Jaime Gomez Raymond Cruz Crime, Drama, Thriller"
45,70,74,tt0141926,u-571,2000,"Action, War",Jonathan Mostow,Matthew McConaughey Bill Paxton Harvey Keitel Jon Bon Jovi David Keith Thomas Kretschmann Jake Weber Jack Noseworthy Tom Guiry Will Estes Terrence 'T.C.' Carson Erik Palladino Dave Power Derk Cheetwood Matthew Settle,6.6,15,"Jonathan Mostow Matthew McConaughey Bill Paxton Harvey Keitel Jon Bon Jovi David Keith Thomas Kretschmann Jake Weber Jack Noseworthy Tom Guiry Will Estes Terrence 'T.C.' Carson Erik Palladino Dave Power Derk Cheetwood Matthew Settle Action, War"
46,73,78,tt0144084,american psycho,2000,"Comedy, Crime, Drama",Mary Harron,Christian Bale Justin Theroux Josh Lucas Bill Sage Chloë Sevigny Reese Witherspoon Samantha Mathis Matt Ross Jared Leto Willem Dafoe Cara Seymour Guinevere Turner Stephen Bogaert Monika Meier Reg E. Cathey,7.6,15,"Mary Harron Christian Bale Justin Theroux Josh Lucas Bill Sage Chloë Sevigny Reese Witherspoon Samantha Mathis Matt Ross Jared Leto Willem Dafoe Cara Seymour Guinevere Turner Stephen Bogaert Monika Meier Reg E. Cathey Comedy, Crime, Drama"
47,77,84,tt0145487,spider-man,2002,"Action, Adventure, Sci-Fi",Sam Raimi,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson Rosemary Harris J.K. Simmons Joe Manganiello Gerry Becker Bill Nunn Jack Betts Stanley Anderson Ron Perkins Michael Papajohn K.K. Dodds,7.3,15,"Sam Raimi Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson Rosemary Harris J.K. Simmons Joe Manganiello Gerry Becker Bill Nunn Jack Betts Stanley Anderson Ron Perkins Michael Papajohn K.K. Dodds Action, Adventure, Sci-Fi"
48,78,85,tt0146063,the princess and the pea,2002,"Animation, Adventure, Family",Mark Swan,Forrest S. Baker III Sarah Baker Hetty Baynes Liz May Brice Péter Bálint Csaba Krisztián Csík Ádám Czetõ Balázs Dévai Stan Ellsworth András Faragó Dan Finnerty Jonathan Firth Gábor Harsányi Lincoln Hoppe Ève Karpf,6.3,15,"Mark Swan Forrest S. Baker III Sarah Baker Hetty Baynes Liz May Brice Péter Bálint Csaba Krisztián Csík Ádám Czetõ Balázs Dévai Stan Ellsworth András Faragó Dan Finnerty Jonathan Firth Gábor Harsányi Lincoln Hoppe Ève Karpf Animation, Adventure, Family"
49,80,87,tt0146309,thirteen days,2000,"Drama, History, Thriller",Roger Donaldson,Shawn Driscoll Kevin Costner Drake Cook Lucinda Jenney Caitlin Wachs Jon Foster Matthew Dunn Kevin O'Donnell Janet Coleman Bruce Thomas Stephanie Romanov Bruce Greenwood Frank Wood Dakin Matthews Liz Sinclair,7.3,15,"Roger Donaldson Shawn Driscoll Kevin Costner Drake Cook Lucinda Jenney Caitlin Wachs Jon Foster Matthew Dunn Kevin O'Donnell Janet Coleman Bruce Thomas Stephanie Romanov Bruce Greenwood Frank Wood Dakin Matthews Liz Sinclair Drama, History, Thriller"
51,82,90,tt0146882,high fidelity,2000,"Comedy, Drama, Music",Stephen Frears,John Cusack Iben Hjejle Todd Louiso Jack Black Lisa Bonet Catherine Zeta-Jones Joan Cusack Tim Robbins Chris Rehmann Ben Carr Lili Taylor Joelle Carter Natasha Gregson Wagner Shannon Stillo Drake Bell,7.5,15,"Stephen Frears John Cusack Iben Hjejle Todd Louiso Jack Black Lisa Bonet Catherine Zeta-Jones Joan Cusack Tim Robbins Chris Rehmann Ben Carr Lili Taylor Joelle Carter Natasha Gregson Wagner Shannon Stillo Drake Bell Comedy, Drama, Music"
52,83,91,tt0146984,the legend of bagger vance,2000,"Drama, Fantasy, Sport",Robert Redford,Will Smith Matt Damon Charlize Theron Bruce McGill Joel Gretsch J. Michael Moncrief Peter Gerety Lane Smith Michael O'Neill Thomas Jay Ryan Trip Hamilton Dermot Crowley Harve Presnell Danny Nelson Bob Penny,6.7,15,"Robert Redford Will Smith Matt Damon Charlize Theron Bruce McGill Joel Gretsch J. Michael Moncrief Peter Gerety Lane Smith Michael O'Neill Thomas Jay Ryan Trip Hamilton Dermot Crowley Harve Presnell Danny Nelson Bob Penny Drama, Fantasy, Sport"
53,85,93,tt0148421,looking for an echo,2000,Drama,Martin Davidson,Armand Assante Diane Venora Joe Grifasi Tom Mason Tony Denison Johnny Williams Edoardo Ballerini Christy Carlson Romano David Vadim Monica Trombetta David Margulies Paz de la Huerta Ilana Levine Gena Scriva Gayle Scott,6.4,15,Martin Davidson Armand Assante Diane Venora Joe Grifasi Tom Mason Tony Denison Johnny Williams Edoardo Ballerini Christy Carlson Romano David Vadim Monica Trombetta David Margulies Paz de la Huerta Ilana Levine Gena Scriva Gayle Scott Drama
54,86,94,tt0149253,texas 46,2002,"Drama, History, War",Giorgio Serafini,Roy Scheider Robert Farrior Luca Zingaretti Vincent Riotta Sue Cremin Charles Fathy Giampiero Judica Luciano Miele Mario Opinato Asya Chakarova Christo Jivkov Malin Krastev Nikolay Mutafchiev Laura Serafini Julian Vergov,6.2,15,"Giorgio Serafini Roy Scheider Robert Farrior Luca Zingaretti Vincent Riotta Sue Cremin Charles Fathy Giampiero Judica Luciano Miele Mario Opinato Asya Chakarova Christo Jivkov Malin Krastev Nikolay Mutafchiev Laura Serafini Julian Vergov Drama, History, War"
55,87,95,tt0149367,where the money is,2000,"Drama, Comedy, Crime",Marek Kanievska,Paul Newman Linda Fiorentino Dermot Mulroney Susan Barnes Anne Pitoniak Bruce MacVittie Irma St. Paule Michel Perron Dorothy Gordon Rita Tuckett Diane Amos Dawn Ford T.J. Kenneally Rod McLachlan Bill Corday,6.2,15,"Marek Kanievska Paul Newman Linda Fiorentino Dermot Mulroney Susan Barnes Anne Pitoniak Bruce MacVittie Irma St. Paule Michel Perron Dorothy Gordon Rita Tuckett Diane Amos Dawn Ford T.J. Kenneally Rod McLachlan Bill Corday Drama, Comedy, Crime"
59,92,100,tt0154187,the bacchae,2002,Drama,Brad Mays,Jonathan Klein Rich Werner William Dennis Hunt William Shephard Lynn Odell Lynn Dickson Danny Huston Ramona Reeves Frank Crim Terence J. Rotolo Robert Chapin Phillip C. Curry Von Rae Wood Danny Nash Amy Amerson,6.8,15,Brad Mays Jonathan Klein Rich Werner William Dennis Hunt William Shephard Lynn Odell Lynn Dickson Danny Huston Ramona Reeves Frank Crim Terence J. Rotolo Robert Chapin Phillip C. Curry Von Rae Wood Danny Nash Amy Amerson Drama
60,93,102,tt0155723,a good baby,2000,Drama,Katherine Dieckmann,Henry Thomas David Strathairn Cara Seymour Danny Nelson Jayne Morgan Allison Glenn Jerry Foster Elijah Christopher Perry Emilie Jacobs Hannah Grady Danny Vinson Lance Holland Bob Post Palma Kauppert April Chapman,6.8,15,Katherine Dieckmann Henry Thomas David Strathairn Cara Seymour Danny Nelson Jayne Morgan Allison Glenn Jerry Foster Elijah Christopher Perry Emilie Jacobs Hannah Grady Danny Vinson Lance Holland Bob Post Palma Kauppert April Chapman Drama
