,Unnamed: 0,Unnamed: 0.1,imdb_title_id,original_title,year,genre,director,actors,avg_vote,cast_size,comb
2580,4254,4745,tt0469099,hey hey it's esther blueburger,2008,"Comedy, Drama",Cathy Randall,Danielle Catanzariti Cassandra Jinman Talia Monaghan Yen Yen Stender Laura Kettle Lucy Carey Tisha Adey Leticia Monaghan Christian Byers Keisha Castle-Hughes Essie Davis Edwin Hodgeman Russell Dykstra Vanessa Downing Poh Ling Yeow,6.3,15,"Cathy Randall Danielle Catanzariti Cassandra Jinman Talia Monaghan Yen Yen Stender Laura Kettle Lucy Carey Tisha Adey Leticia Monaghan Christian Byers Keisha Castle-Hughes Essie Davis Edwin Hodgeman Russell Dykstra Vanessa Downing Poh Ling Yeow Comedy, Drama"
2581,4256,4748,tt0469184,shanghai kiss,2007,"Comedy, Drama, Romance","Kern Konwiser, David Ren",Ken Leung Hayden Panettiere Kelly Hu Joel David Moore James Hong Kathleen Lancaster Lorna Scott Spencer Redford Steve Connell Brian Gardner Timothy Bottoms Summer Altice Oliver Yan Byron Mann Chen Li,6.6,15,"Kern Konwiser, David Ren Ken Leung Hayden Panettiere Kelly Hu Joel David Moore James Hong Kathleen Lancaster Lorna Scott Spencer Redford Steve Connell Brian Gardner Timothy Bottoms Summer Altice Oliver Yan Byron Mann Chen Li Comedy, Drama, Romance"
2582,4258,4750,tt0469263,the astronaut farmer,2006,"Adventure, Drama, Sci-Fi",Michael Polish,Billy Bob Thornton Virginia Madsen Max Thieriot Jasper Polish Logan Polish Bruce Dern Mark Polish Jon Gries Tim Blake Nelson Sal Lopez J.K. Simmons Kiersten Warren Rick Overton Richard Edson Elise Eberle,6.3,15,"Michael Polish Billy Bob Thornton Virginia Madsen Max Thieriot Jasper Polish Logan Polish Bruce Dern Mark Polish Jon Gries Tim Blake Nelson Sal Lopez J.K. Simmons Kiersten Warren Rick Overton Richard Edson Elise Eberle Adventure, Drama, Sci-Fi"
2584,4260,4753,tt0469494,there will be blood,2007,Drama,Paul Thomas Anderson,Daniel Day-Lewis Martin Stringer Matthew Braden Stringer Jacob Stringer Joseph Mussey Barry Del Sherman Harrison Taylor Stockton Taylor Paul F. Tompkins Dillon Freasier Kevin Breznahan Jim Meskimen Erica Sullivan Randall Carver Coco Leigh,8.2,15,Paul Thomas Anderson Daniel Day-Lewis Martin Stringer Matthew Braden Stringer Jacob Stringer Joseph Mussey Barry Del Sherman Harrison Taylor Stockton Taylor Paul F. Tompkins Dillon Freasier Kevin Breznahan Jim Meskimen Erica Sullivan Randall Carver Coco Leigh Drama
2586,4262,4755,tt0469623,things we lost in the fire,2007,Drama,Susanne Bier,Halle Berry Benicio Del Toro David Duchovny Alexis Llewellyn Micah Berry John Carroll Lynch Alison Lohman Robin Weigert Omar Benson Miller Paula Newsome Sarah Dubrovsky Maureen Thomas Patricia Harras V.J. Foster Caroline Field,7.2,15,Susanne Bier Halle Berry Benicio Del Toro David Duchovny Alexis Llewellyn Micah Berry John Carroll Lynch Alison Lohman Robin Weigert Omar Benson Miller Paula Newsome Sarah Dubrovsky Maureen Thomas Patricia Harras V.J. Foster Caroline Field Drama
2589,4267,4761,tt0469689,the last time,2006,"Comedy, Drama, Thriller",Michael Caleo,Michael Keaton Brendan Fraser Amber Valletta Daniel Stern Richard Kuhlman Alexis Cruz Neal McDonough William Ragsdale Mike Hagerty Maree Cheatham David Jensen Michael Lerner Caroline McKinley Sam Nazarian Douglas M. Griffin,6.1,15,"Michael Caleo Michael Keaton Brendan Fraser Amber Valletta Daniel Stern Richard Kuhlman Alexis Cruz Neal McDonough William Ragsdale Mike Hagerty Maree Cheatham David Jensen Michael Lerner Caroline McKinley Sam Nazarian Douglas M. Griffin Comedy, Drama, Thriller"
2590,4268,4762,tt0469690,little big top,2006,Comedy,Ward Roberts,Sid Haig Richard Riehle Hollis Resnik Mel England Jacob Zachar Travis Betz Devin Barry Joanne Lee Bennett Bryant M. Bennett Lloyd L. Hill Kelly Voss Pat Kelly Dorothy Kelly Edward Kelly Bruce Embrey,6.3,15,Ward Roberts Sid Haig Richard Riehle Hollis Resnik Mel England Jacob Zachar Travis Betz Devin Barry Joanne Lee Bennett Bryant M. Bennett Lloyd L. Hill Kelly Voss Pat Kelly Dorothy Kelly Edward Kelly Bruce Embrey Comedy
2591,4269,4763,tt0469897,diggers,2006,"Comedy, Drama",Katherine Dieckmann,Paul Rudd Ken Marino Ron Eldard Josh Hamilton Maura Tierney Sarah Paulson Lauren Ambrose Beeson Carroll Jack O'Connell Shannon Barry Andrew Cherry Alexander Pickett Jonny Pickett Caroline Wallis Alison Folland,6.3,15,"Katherine Dieckmann Paul Rudd Ken Marino Ron Eldard Josh Hamilton Maura Tierney Sarah Paulson Lauren Ambrose Beeson Carroll Jack O'Connell Shannon Barry Andrew Cherry Alexander Pickett Jonny Pickett Caroline Wallis Alison Folland Comedy, Drama"
2592,4270,4764,tt0469903,the express,2008,"Biography, Drama, Sport",Gary Fleder,Rob Brown Dennis Quaid Darrin Dewitt Henson Omar Benson Miller Nelsan Ellis Charles S. Dutton Justin Martin Justin Jones Nicole Beharie Aunjanue Ellis Elizabeth Shivers Clancy Brown Danny McCarthy Regina Hoyles Chelcie Ross,7.3,15,"Gary Fleder Rob Brown Dennis Quaid Darrin Dewitt Henson Omar Benson Miller Nelsan Ellis Charles S. Dutton Justin Martin Justin Jones Nicole Beharie Aunjanue Ellis Elizabeth Shivers Clancy Brown Danny McCarthy Regina Hoyles Chelcie Ross Biography, Drama, Sport"
2593,4271,4765,tt0469913,good time max,2007,Drama,James Franco,James Franco Vince Jolivette Wilmer Calderon Trip Hope Richard Portnow Jarrod Bunch Robyn Cohen Peter Mackenzie Brian Lally Charity Shea Molly Cheek Mary Payne Mark Hapka Bailey Hughes Tylor Chase,6.1,15,James Franco James Franco Vince Jolivette Wilmer Calderon Trip Hope Richard Portnow Jarrod Bunch Robyn Cohen Peter Mackenzie Brian Lally Charity Shea Molly Cheek Mary Payne Mark Hapka Bailey Hughes Tylor Chase Drama
2595,4277,4773,tt0470732,bernard and doris,2006,"Biography, Comedy, Drama",Bob Balaban,Susan Sarandon Ralph Fiennes Peter Asher Don Harvey Chris Bauer Monique Gabriela Curnen Marilyn Torres Nick Rolfe James Rebhorn Dominick Dunne Thomas J. McGrath Gene Parseghian Henry Schleiff Calvin Trillin Kunnath P. Namboodiri,6.5,15,"Bob Balaban Susan Sarandon Ralph Fiennes Peter Asher Don Harvey Chris Bauer Monique Gabriela Curnen Marilyn Torres Nick Rolfe James Rebhorn Dominick Dunne Thomas J. McGrath Gene Parseghian Henry Schleiff Calvin Trillin Kunnath P. Namboodiri Biography, Comedy, Drama"
